,Key,CN,outflow_rate,a_l,h_l,v_H
36,600,0.005091667769681691,0.017911406999120416,0.6167760321456685,0.4974309048034989,0.0020185473341532314
37,600,0.016470603483108928,0.00758501496233782,0.7013018652707398,0.42623698316042763,0.004441223793342619
38,600,0.021415118812352835,0.006774645608729032,0.6761689841329971,0.3964904306782939,0.00984141631989838
39,800,0.0,0.0,0.0,0.0,0.0
40,800,0.00015620915225214964,0.07929057742796772,0.6539695601427127,0.3223203598875611,0.00044652930208472456
41,800,0.0009558389242349403,0.03571749623932434,0.6422278104930135,0.35566500673868523,0.0016414561836803317
42,800,0.0,0.0,0.0,0.0,0.0
43,800,0.00881467194853462,0.017018526195573813,0.590463259663611,0.49713507399333773,0.0010062448906016
44,800,0.00265642094301784,0.020017951986669138,0.6062678387040562,0.4469410562348372,0.0006634876085594301
45,800,0.017718303215267982,0.012253460299559212,0.6967165008082166,0.3892142800592297,0.010634904768819618
46,800,0.0374085031704605,0.014939435641274671,0.6725995567412891,0.38619330373686056,0.0029664302376621707
47,800,0.003767712948684994,0.008878330717445123,0.6971990600759398,0.4546436435618692,0.00339202364741322
48,800,0.04099007691896843,0.023142852584546472,0.6816812142059233,0.3466381908907267,0.008561047469411913
49,1000,0.009508152986589722,0.014099892501850418,0.6120365555446844,0.4303996013946842,0.0032764996776427405
50,1000,0.0002909966099439252,0.05999470130570727,0.6419956197995789,0.37053274307238454,0.002561296297058465
51,1000,0.02019878853017153,0.01240094401291703,0.7013021276771776,0.3476684563519586,0.0037901025784643945
52,1000,0.00480955162932654,0.016676915635538636,0.6679910425394558,0.35914809866014424,0.014670362345749314
53,1000,0.004426587838351802,0.0157825979680015,0.6162992315516956,0.4817612619838107,0.0016104622117744335
54,1000,9.497696893844617e-05,0.05637225324764198,0.6126165454579868,0.3475822705280865,0.0003848326727701592
55,1000,0.006309690141260611,0.024896585729705295,0.6387074300218577,0.3847459857230844,0.006878565584929975
56,1000,0.026935938819824798,0.011961119231575787,0.6450644712080917,0.44220012317679086,0.006694275142706615
57,1000,0.014414603801754217,0.01366237751073944,0.6051295206071042,0.43011478379389895,0.0032819761125982925
58,1200,0.00024622603418463743,0.07604424127128419,0.6936784387856728,0.2910987741618377,0.0007797287379920759
59,1200,0.006717310111565015,0.01645401834720551,0.6488068533754882,0.37583605095750316,0.0026825111245613134
60,1200,0.008486769567042097,0.007326423690342016,0.6890924634591439,0.39971483027780286,0.009646557636424153
61,1200,0.0024937204508310765,0.011540474044321394,0.6548867639797609,0.36066372450131995,0.006841248014821495
62,1200,0.0035372666015102672,0.025720867863388373,0.6550992557621077,0.34307528607592436,0.00223180414813232
63,1200,0.0027907219752957685,0.03074078693705538,0.7029474964960316,0.2987929171929274,0.004222657184984823
64,1200,0.0018602012681486065,0.04043074693621111,0.6681445009251149,0.3238767724290496,0.0038304113432957206
65,1200,0.000302955540564022,0.045380494321240465,0.7072746272246253,0.30462781857893817,0.0019455254116852408
66,1200,0.010618104451787345,0.011506975395566025,0.6470600904919867,0.393494659127038,0.014293652227727273
67,1400,0.0050792895548198436,0.038651673162457996,0.6691560920661216,0.334694367255174,0.002439907415446598
68,1400,0.0002720897668505969,0.07055601411609168,0.6896734990201262,0.3284957469928047,0.0003018351102156793
69,1400,0.0003208544854557178,0.07915835348817839,0.706606281095073,0.28462346591768156,0.0004255556079109044
70,1400,0.00012322458528986772,0.06624177560343407,0.7251047232404078,0.2790963273843602,0.0004652675054677664
71,1400,0.0032765286775498334,0.019521604788572264,0.6790226418585917,0.3438886475539111,0.00376951695025405
72,1400,0.013678817226558556,0.009408919241928116,0.7051444050687183,0.40929723124608813,0.005829979191793859
73,1400,0.0016381909780957206,0.054513314489791964,0.6956822196317454,0.285006234455878,0.0018052821405729383
74,1400,0.0011454724293865973,0.036344990885175885,0.6724689014579811,0.3235002476010812,0.001530878192385559
75,1400,0.0,0.0,0.0,0.0,0.0
76,1400,0.0023317570062206033,0.021568507774886277,0.6528215290092917,0.38203421253009034,0.002371687655509874
77,1600,9.376988376602656e-05,0.07110822262014059,0.6597484900824399,0.32393515316205057,0.0006169651313234966
78,1600,0.00041260456264803614,0.0438175031477217,0.6598286335856163,0.35979258866511454,0.0021080062582375138
79,1600,0.002941070588463895,0.024644435116096736,0.6383843373201399,0.3700007468945575,0.004582848259600292
80,1600,0.008843128063984367,0.01859255896787028,0.6565849711849716,0.34734063495476497,0.01005067303820409
81,1600,0.00035148806392322924,0.052557236354034635,0.6723347459138834,0.32290149889113284,0.0006269745320274712
82,1600,0.00020634562900343476,0.048915381978957805,0.7068026145978735,0.2928050371102496,0.001286069805286716
83,1600,0.0015592920001845907,0.054368675119615,0.7349242600422555,0.28282437912199065,0.0015328274430913686
84,1600,0.00022703483985099082,0.058932970396817434,0.7065097894800921,0.29541496747309165,0.0012654998074949722
85,1600,0.017274229787484927,0.024873792535006257,0.6634206687883968,0.344549737443885,0.008298545000100152
86,1600,0.0011609996167920961,0.02707442360603853,0.6724487902877058,0.3555532190849489,0.006683718139786396
87,1800,0.00018339912332473093,0.05552271717581474,0.6874419553408742,0.3411556817938684,0.0003918759247961367
